,model,pred_norm_gpu,true_norm_gpu,true_gpu,true_n_gpu,pred_gpu,ub_90_norm,ub_90,pred_n_gpu_90,ub_91_norm,ub_91,pred_n_gpu_91,ub_92_norm,ub_92,pred_n_gpu_92,ub_93_norm,ub_93,pred_n_gpu_93,ub_94_norm,ub_94,pred_n_gpu_94,ub_95_norm,ub_95,pred_n_gpu_95,ub_96_norm,ub_96,pred_n_gpu_96,ub_97_norm,ub_97,pred_n_gpu_97,ub_98_norm,ub_98,pred_n_gpu_98,ub_99_norm,ub_99,pred_n_gpu_99
10,LSTMQ,0.8785043,0.7866658993466044,28770164.86530669,4135,29533529.043296594,0.922429515,30477666.031964235,4380,0.922429515,30477666.031964235,4380,0.922429515,30477666.031964235,4380,0.922429515,30477666.031964235,4380,0.922429515,30477666.031964235,4380,0.922429515,30477666.031964235,4380,0.922429515,30477666.031964235,4380,0.922429515,30477666.031964235,4380,0.922429515,30477666.031964235,4380,0.922429515,30477666.031964235,4380
11,LSTMQ,0.7994242,0.7953153949390118,28969389.796092987,4163,27833766.219653368,0.8393954100000001,28692915.067138847,4124,0.8393954100000001,28692915.067138847,4124,0.8393954100000001,28692915.067138847,4124,0.8393954100000001,28692915.067138847,4124,0.8393954100000001,28692915.067138847,4124,0.8393954100000001,28692915.067138847,4124,0.8393954100000001,28692915.067138847,4124,0.8393954100000001,28692915.067138847,4124,0.8393954100000001,28692915.067138847,4124,0.8393954100000001,28692915.067138847,4124
12,LSTMQ,0.7905429,0.7940678088752154,28940653.98779592,4159,27642869.85551596,0.830070045,28492473.88479457,4095,0.830070045,28492473.88479457,4095,0.830070045,28492473.88479457,4095,0.830070045,28492473.88479457,4095,0.830070045,28492473.88479457,4095,0.830070045,28492473.88479457,4095,0.830070045,28492473.88479457,4095,0.830070045,28492473.88479457,4095,0.830070045,28492473.88479457,4095,0.830070045,28492473.88479457,4095
13,LSTMQ,0.7908063,0.7870965010581666,28780082.969231475,4136,27648531.42559171,0.830346615,28498418.53337411,4096,0.830346615,28498418.53337411,4096,0.830346615,28498418.53337411,4096,0.830346615,28498418.53337411,4096,0.830346615,28498418.53337411,4096,0.830346615,28498418.53337411,4096,0.830346615,28498418.53337411,4096,0.830346615,28498418.53337411,4096,0.830346615,28498418.53337411,4096,0.830346615,28498418.53337411,4096
14,LSTMQ,0.80113965,0.797003345763423,29008268.581863936,4169,27870638.430687733,0.8411966325,28731630.88872493,4129,0.8411966325,28731630.88872493,4129,0.8411966325,28731630.88872493,4129,0.8411966325,28731630.88872493,4129,0.8411966325,28731630.88872493,4129,0.8411966325,28731630.88872493,4129,0.8411966325,28731630.88872493,4129,0.8411966325,28731630.88872493,4129,0.8411966325,28731630.88872493,4129,0.8411966325,28731630.88872493,4129
15,LSTMQ,0.79827887,0.7954263384203334,28971945.1713922,4164,27809148.277151987,0.8381928135,28667066.227512397,4120,0.8381928135,28667066.227512397,4120,0.8381928135,28667066.227512397,4120,0.8381928135,28667066.227512397,4120,0.8381928135,28667066.227512397,4120,0.8381928135,28667066.227512397,4120,0.8381928135,28667066.227512397,4120,0.8381928135,28667066.227512397,4120,0.8381928135,28667066.227512397,4120,0.8381928135,28667066.227512397,4120
16,LSTMQ,0.79102767,0.7922214639433095,28898126.89042512,4153,27653289.59479319,0.8305790534999999,28503414.611035664,4096,0.8305790534999999,28503414.611035664,4096,0.8305790534999999,28503414.611035664,4096,0.8305790534999999,28503414.611035664,4096,0.8305790534999999,28503414.611035664,4096,0.8305790534999999,28503414.611035664,4096,0.8305790534999999,28503414.611035664,4096,0.8305790534999999,28503414.611035664,4096,0.8305790534999999,28503414.611035664,4096,0.8305790534999999,28503414.611035664,4096
17,LSTMQ,0.8046679,0.7894385102679656,28834026.76488271,4144,27946475.3123118,0.844901295,28811259.614430197,4141,0.844901295,28811259.614430197,4141,0.844901295,28811259.614430197,4141,0.844901295,28811259.614430197,4141,0.844901295,28811259.614430197,4141,0.844901295,28811259.614430197,4141,0.844901295,28811259.614430197,4141,0.844901295,28811259.614430197,4141,0.844901295,28811259.614430197,4141,0.844901295,28811259.614430197,4141
18,LSTMQ,0.80140674,0.7848501616939664,28728342.74928753,4129,27876379.314330608,0.841477077,28737658.81654995,4130,0.841477077,28737658.81654995,4130,0.841477077,28737658.81654995,4130,0.841477077,28737658.81654995,4130,0.841477077,28737658.81654995,4130,0.841477077,28737658.81654995,4130,0.841477077,28737658.81654995,4130,0.841477077,28737658.81654995,4130,0.841477077,28737658.81654995,4130,0.841477077,28737658.81654995,4130
19,LSTMQ,0.79851395,0.7988256284715406,29050241.450977422,4175,27814201.131720737,0.8384396475,28672371.724809583,4121,0.8384396475,28672371.724809583,4121,0.8384396475,28672371.724809583,4121,0.8384396475,28672371.724809583,4121,0.8384396475,28672371.724809583,4121,0.8384396475,28672371.724809583,4121,0.8384396475,28672371.724809583,4121,0.8384396475,28672371.724809583,4121,0.8384396475,28672371.724809583,4121,0.8384396475,28672371.724809583,4121
