,model,pred_norm_gpu,pred_std,true_norm_gpu,true_gpu,true_n_gpu,pred_gpu,ub_90_norm,ub_90,pred_n_gpu_90,ub_91_norm,ub_91,pred_n_gpu_91,ub_92_norm,ub_92,pred_n_gpu_92,ub_93_norm,ub_93,pred_n_gpu_93,ub_94_norm,ub_94,pred_n_gpu_94,ub_95_norm,ub_95,pred_n_gpu_95,ub_96_norm,ub_96,pred_n_gpu_96,ub_97_norm,ub_97,pred_n_gpu_97,ub_98_norm,ub_98,pred_n_gpu_98,ub_99_norm,ub_99,pred_n_gpu_99
13,MCD,0.7635271,2.9802322e-07,0.7870965010581666,27568792.296221375,3962,27062187.07323596,0.7635274819321242,27062195.282558225,3889,0.7635274995761324,27062195.66180192,3889,0.7635275187439508,27062196.073798683,3889,0.7635275398199943,27062196.5268112,3889,0.763527563358633,27062197.03275521,3889,0.7635275902045744,27062197.60978702,3889,0.7635276217451001,27062198.287725125,3889,0.7635276605201673,27062199.12116385,3889,0.7635277120648635,27062200.229075424,3889,0.7635277933056843,27062201.975281198,3889
14,MCD,0.7785607,1.7881393e-07,0.797003345763423,27781731.914780296,3993,27385322.152548235,0.7785609291592719,27385327.07814154,3936,0.7785609397456767,27385327.305687755,3936,0.7785609512463676,27385327.552885808,3936,0.7785609638919936,27385327.824693315,3936,0.7785609780151767,27385328.12825972,3936,0.7785609941227413,27385328.4744788,3936,0.7785610130470566,27385328.88124166,3936,0.7785610363120966,27385329.381304886,3936,0.7785610672389139,27385330.046051826,3936,0.7785611159834059,27385331.093775276,3936
15,MCD,0.7798793,1.7881393e-07,0.7954263384203334,27747835.416743547,3988,27413664.393633615,0.779879529159272,27413669.319226924,3940,0.7798795397456768,27413669.54677314,3940,0.7798795512463677,27413669.793971192,3940,0.7798795638919936,27413670.065778695,3940,0.7798795780151767,27413670.3693451,3940,0.7798795941227413,27413670.71556418,3940,0.7798796130470567,27413671.122327045,3940,0.7798796363120967,27413671.62239027,3940,0.779879667238914,27413672.287137207,3940,0.779879715983406,27413673.33486066,3940
16,MCD,0.7713941,1.7881393e-07,0.7922214639433095,27678949.230579287,3978,27231281.878801472,0.7713943291592719,27231286.804394774,3914,0.7713943397456767,27231287.03194099,3914,0.7713943512463676,27231287.279139042,3914,0.7713943638919936,27231287.550946552,3914,0.7713943780151766,27231287.854512956,3914,0.7713943941227412,27231288.200732037,3914,0.7713944130470566,27231288.607494894,3914,0.7713944363120966,27231289.107558124,3914,0.7713944672389139,27231289.772305064,3914,0.7713945159834059,27231290.820028514,3914
17,MCD,0.78221184,5.9604645e-08,0.7894385102679656,27619131.89097968,3969,27463800.455381904,0.7822119163864261,27463802.097246386,3947,0.7822119199152278,27463802.173095126,3947,0.7822119237487916,27463802.25549448,3947,0.7822119279640003,27463802.346096985,3947,0.7822119326717282,27463802.447285786,3947,0.7822119380409165,27463802.56269215,3947,0.7822119443490217,27463802.698279772,3947,0.7822119521040353,27463802.86496752,3947,0.7822119624129747,27463803.08654984,3947,0.7822119786611391,27463803.435790997,3947
18,MCD,0.78247505,5.9604645e-08,0.7848501616939664,27520509.04745773,3955,27469457.94156125,0.782475126386426,27469459.583425727,3948,0.7824751299152277,27469459.659274466,3948,0.7824751337487915,27469459.74167382,3948,0.7824751379640003,27469459.832276326,3948,0.7824751426717281,27469459.93346513,3948,0.7824751480409164,27469460.048871495,3948,0.7824751543490217,27469460.184459116,3948,0.7824751621040352,27469460.351146862,3948,0.7824751724129747,27469460.57272918,3948,0.7824751886611391,27469460.92197034,3948
19,MCD,0.7774328,1.1920929e-07,0.7988256284715406,27820900.40851546,3998,27361078.853806995,0.7774329527728523,27361082.13753596,3932,0.7774329598304557,27361082.28923344,3932,0.7774329674975832,27361082.454032145,3932,0.7774329759280006,27361082.635237154,3932,0.7774329853434564,27361082.837614764,3932,0.777432996081833,27361083.06842749,3932,0.7774330086980435,27361083.339602735,3932,0.7774330242080707,27361083.672978234,3932,0.7774330448259495,27361084.11614287,3932,0.7774330773222784,27361084.814625192,3932
20,MCD,0.7740175,2.9802322e-07,0.8225366274700748,28330549.164765775,4072,27287669.74112772,0.7740178819321242,27287677.950449985,3922,0.7740178995761324,27287678.32969368,3922,0.7740179187439508,27287678.74169044,3922,0.7740179398199943,27287679.194702957,3922,0.774017963358633,27287679.70064697,3922,0.7740179902045744,27287680.277678777,3922,0.7740180217451001,27287680.95561688,3922,0.7740180605201673,27287681.789055604,3922,0.7740181120648635,27287682.896967184,3922,0.7740181933056843,27287684.643172953,3922
21,MCD,0.76907367,2.9802322e-07,0.8088072088026707,28035446.40893862,4029,27181406.111713845,0.7690740519321242,27181414.32103611,3906,0.7690740695761324,27181414.700279806,3906,0.7690740887439508,27181415.11227656,3906,0.7690741098199944,27181415.565289084,3906,0.7690741333586331,27181416.071233097,3906,0.7690741602045744,27181416.6482649,3906,0.7690741917451002,27181417.326203007,3906,0.7690742305201673,27181418.15964173,3906,0.7690742820648635,27181419.26755331,3906,0.7690743633056843,27181421.01375908,3906
22,MCD,0.7850247,1.7881393e-07,0.810643885578053,28074924.29151393,4035,27524260.607254665,0.7850249291592719,27524265.53284797,3956,0.7850249397456768,27524265.760394186,3956,0.7850249512463676,27524266.00759224,3956,0.7850249638919936,27524266.279399745,3956,0.7850249780151767,27524266.58296615,3956,0.7850249941227413,27524266.929185227,3956,0.7850250130470566,27524267.33594809,3956,0.7850250363120966,27524267.836011317,3956,0.785025067238914,27524268.500758253,3956,0.785025115983406,27524269.548481707,3956
