,avggpu,std,labels
61,28172207.897901647,1916135.8681115564,25257556.938882142
62,28189321.47106264,1983954.0134836026,24993197.613210224
63,28167509.64754765,1877405.3491254002,24906932.95356085
64,28177357.54064636,1826727.9358996227,24641692.79741228
65,28190030.32078275,1762631.6092579886,24264321.1322123
66,28220857.16004809,1773475.6263495442,24284969.39698481
67,28189714.675114125,1850211.0780386087,24291642.235027418
68,28202507.812794987,1839186.834907936,24728041.655855387
69,28175897.678525373,1853570.294054862,24698155.974852007
70,28165244.77160666,1859666.1277476847,24598754.74117068
71,28213915.05694305,1726001.821353376,24326875.27970901
72,28168248.07066257,1968706.7035677377,24220858.35538189
73,28179410.40081432,1938025.90337535,24249099.105433404
74,28206696.61908135,1873887.8834059276,24510834.07738281
75,28254450.002788,1748777.1228801403,24394918.122583862
76,28188491.51554266,1746267.5248202663,25062188.352625173
77,28190109.641104992,1761333.7295257729,24648585.613399144
78,28188661.618700124,1870372.9774255063,24859955.80579492
79,28200730.11851355,1865376.8247172125,24903142.596492816
80,28216357.36473294,1866738.5224101935,25005063.744061504
81,28195562.705556363,1829275.2439973727,25090425.17668756
82,28169027.84773888,1801680.9505523145,24972265.01141792
83,28215051.817325518,1918339.3445148524,24557043.692656897
84,28183856.819993056,1846912.5339905452,24231382.56442399
85,28200533.73707592,1927785.8380663134,24344312.9960649
86,28208942.89435095,1875695.322812125,24308705.008363813
87,28189950.094934303,1778418.0960535165,24164295.163471617
88,28168913.88753148,1918688.8755072244,24307128.45381438
89,28201893.717118382,1843106.2120225895,23848483.43366171
90,28183973.434176125,1928123.2944065705,24226805.00382679
91,28217161.68781052,1858164.274009265,24568253.54711509
92,28223506.971334357,1733939.6691135913,24386488.548369244
93,28193917.25945023,2010129.9493697528,24309641.82777449
94,28223404.69846843,1915716.2786734141,24309245.37300898
95,28192383.237433013,1877893.7267814353,24456377.6389334
96,28197483.50295456,1757676.326925924,25401966.55076514
97,28201899.74048586,1905469.060709428,25480300.576408982
98,28191145.882502884,1711445.799734205,25235418.301599976
99,28199286.40523507,1833573.1028145924,24645938.733568124
100,28236134.41616929,1708979.8631057795,24306340.97362051
101,28214040.47503488,1836965.1757230256,24189365.82013072
102,28197527.48303731,1940203.2906881794,24161166.182170592
103,28177726.824771315,1891342.9398841783,24084167.14750317
104,28201680.16333051,1818507.4602423105,23750068.645100724
105,28175951.20852065,1844373.452800233,22910511.01799746
106,28202703.66429963,1855160.4561221506,22615570.860742413
107,28192397.001766328,1937393.1484617759,22654623.634025708
108,28180527.57569824,1945889.0133882705,22407098.08145951
109,28188083.798634917,1756896.0512734465,22540580.87808096
110,28182837.29421958,1948790.2714864835,22232895.178193927
111,28196937.56091329,1953976.6973965224,21793807.86726152
112,28171348.664490797,1901728.173510002,21438514.010669377
113,28167042.58119481,1864311.4339044336,21251219.52508167
114,28168791.59611961,1864321.7980956156,21257142.32486119
115,28188944.251771744,1852059.1611495465,20734417.181084443
116,28150315.079730783,1778593.7040815707,20374722.5196899
117,28146602.720895454,1927378.8913335074,19929193.922772143
118,28128924.4518172,1883591.5631236825,20700371.209682595
